dtype,batch,seq_len,peak_mem_gb
fp16,1,512,16.626
fp16,1,2048,17.332
fp16,1,4096,18.274
fp16,4,512,17.332
fp16,4,2048,20.156
fp16,4,4096,23.92
fp16,16,512,20.156
fp16,16,2048,31.449
fp16,16,4096,46.507
int8kv,1,512,16.588
int8kv,1,2048,17.182
int8kv,1,4096,17.975
int8kv,4,512,17.182
int8kv,4,2048,19.56
int8kv,4,4096,22.73
int8kv,16,512,19.56
int8kv,16,2048,29.07
int8kv,16,4096,41.749
w4a8,1,512,6.342
w4a8,1,2048,7.048
w4a8,1,4096,7.989
w4a8,4,512,7.048
w4a8,4,2048,9.871
w4a8,4,4096,13.636
w4a8,16,512,9.871
w4a8,16,2048,21.165
w4a8,16,4096,36.223
combined,1,512,6.305
combined,1,2048,6.899
combined,1,4096,7.692
combined,4,512,6.899
combined,4,2048,9.277
combined,4,4096,12.447
combined,16,512,9.277
combined,16,2048,18.787
combined,16,4096,31.466
