prune_ratio,batch,seq_len,layer_type,time_ms,time_pct,throughput_tok_s,peak_vram_mb
baseline,1,512,attention,23.65337598323822,36.3,8813.834184557141,15856.1
baseline,1,512,ffn,27.9715838432312,42.93,8813.834184557141,15856.1
baseline,1,512,other,13.535234570503235,20.77,8813.834184557141,15856.1
baseline,1,512,total,65.16019439697266,100.0,8813.834184557141,15856.1
baseline,1,2048,attention,69.95046412944794,32.94,9669.870703095507,16529.2
baseline,1,2048,ffn,107.48723196983337,50.62,9669.870703095507,16529.2
baseline,1,2048,other,34.92352521419525,16.45,9669.870703095507,16529.2
baseline,1,2048,total,212.36122131347656,100.0,9669.870703095507,16529.2
baseline,1,4096,attention,147.59321546554565,34.65,9620.611480417976,17427.8
baseline,1,4096,ffn,212.85888051986694,49.97,9620.611480417976,17427.8
baseline,1,4096,other,65.48787593841553,15.37,9620.611480417976,17427.8
baseline,1,4096,total,425.9399719238281,100.0,9620.611480417976,17427.8
baseline,4,512,attention,64.30515217781067,30.96,9870.109600369984,16529.2
baseline,4,512,ffn,108.5071349143982,52.23,9870.109600369984,16529.2
baseline,4,512,other,34.9245445728302,16.81,9870.109600369984,16529.2
baseline,4,512,total,207.73683166503906,100.0,9870.109600369984,16529.2
baseline,4,2048,attention,259.40480041503906,31.96,10085.118427758875,19221.8
baseline,4,2048,ffn,424.4848642349243,52.3,10085.118427758875,19221.8
baseline,4,2048,other,127.81877040863037,15.75,10085.118427758875,19221.8
baseline,4,2048,total,811.7084350585938,100.0,10085.118427758875,19221.8
baseline,4,4096,attention,572.2101755142212,34.35,9821.036207836312,22811.9
baseline,4,4096,ffn,842.2092781066895,50.56,9821.036207836312,22811.9
baseline,4,4096,other,251.30185985565186,15.09,9821.036207836312,22811.9
baseline,4,4096,total,1665.7213134765625,100.0,9821.036207836312,22811.9
baseline,16,512,attention,239.59449577331543,30.06,10277.558347112146,19221.8
baseline,16,512,ffn,428.9802236557007,53.81,10277.558347112146,19221.8
baseline,16,512,other,128.5683469772339,16.13,10277.558347112146,19221.8
baseline,16,512,total,797.14306640625,100.0,10277.558347112146,19221.8
baseline,16,2048,attention,1047.760898590088,32.01,9989.283257165805,29992.0
baseline,16,2048,ffn,1722.4355850219727,52.63,9989.283257165805,29992.0
baseline,16,2048,other,502.64873123168945,15.36,9989.283257165805,29992.0
baseline,16,2048,total,3272.84521484375,100.0,9989.283257165805,29992.0
baseline,16,4096,attention,2399.647750854492,34.62,9429.85361488759,44352.2
baseline,16,4096,ffn,3497.9491653442383,50.46,9429.85361488759,44352.2
baseline,16,4096,other,1034.4304275512695,14.92,9429.85361488759,44352.2
baseline,16,4096,total,6932.02734375,100.0,9429.85361488759,44352.2
10,1,512,attention,23.899136066436768,36.84,8798.16996015847,14775.1
10,1,512,ffn,27.39097625017166,42.22,8798.16996015847,14775.1
10,1,512,other,13.586428821086884,20.94,8798.16996015847,14775.1
10,1,512,total,64.87654113769531,100.0,8798.16996015847,14775.1
10,1,2048,attention,71.78649616241455,34.57,9941.741681594593,15448.2
10,1,2048,ffn,100.19430255889893,48.25,9941.741681594593,15448.2
10,1,2048,other,35.68025779724121,17.18,9941.741681594593,15448.2
10,1,2048,total,207.6610565185547,100.0,9941.741681594593,15448.2
10,1,4096,attention,150.57817697525024,36.34,9909.845460055492,16345.8
10,1,4096,ffn,197.37907218933105,47.63,9909.845460055492,16345.8
10,1,4096,other,66.43609189987183,16.03,9909.845460055492,16345.8
10,1,4096,total,414.3933410644531,100.0,9909.845460055492,16345.8
10,4,512,attention,65.45817589759827,32.52,10235.938330440016,15448.2
10,4,512,ffn,100.21478343009949,49.79,10235.938330440016,15448.2
10,4,512,other,35.60140895843506,17.69,10235.938330440016,15448.2
10,4,512,total,201.2743682861328,100.0,10235.938330440016,15448.2
10,4,2048,attention,259.0720009803772,33.74,10448.092178923376,18140.8
10,4,2048,ffn,380.81126594543457,49.6,10448.092178923376,18140.8
10,4,2048,other,127.91092252731323,16.66,10448.092178923376,18140.8
10,4,2048,total,767.794189453125,100.0,10448.092178923376,18140.8
10,4,4096,attention,577.7172479629517,35.97,10199.496004749813,21730.9
10,4,4096,ffn,775.0983657836914,48.25,10199.496004749813,21730.9
10,4,4096,other,253.46868801116943,15.78,10199.496004749813,21730.9
10,4,4096,total,1606.2843017578125,100.0,10199.496004749813,21730.9
10,16,512,attention,243.17030429840088,31.75,10684.78839151568,18140.8
10,16,512,ffn,392.3394556045532,51.23,10684.78839151568,18140.8
10,16,512,other,130.36749839782715,17.02,10684.78839151568,18140.8
10,16,512,total,765.8772583007812,100.0,10684.78839151568,18140.8
10,16,2048,attention,1063.8192615509033,34.29,10565.990537838647,28911.0
10,16,2048,ffn,1526.5167427062988,49.21,10565.990537838647,28911.0
