prune_ratio,batch,seq_len,layer_type,time_ms,time_pct,throughput_tok_s,peak_vram_mb
baseline,1,512,attention,31.358976185321808,40.47,8601.41066291775,15856.1
baseline,1,512,ffn,28.30745619535446,36.53,8601.41066291775,15856.1
baseline,1,512,other,17.8247709274292,23.0,8601.41066291775,15856.1
baseline,1,512,total,77.49120330810547,100.0,8601.41066291775,15856.1
baseline,1,2048,attention,70.36415994167328,32.46,9561.143629586108,16529.2
baseline,1,2048,ffn,108.54502511024475,50.07,9561.143629586108,16529.2
baseline,1,2048,other,37.858301520347595,17.46,9561.143629586108,16529.2
baseline,1,2048,total,216.76748657226562,100.0,9561.143629586108,16529.2
baseline,1,4096,attention,149.1138572692871,34.52,9539.345169940674,17427.8
baseline,1,4096,ffn,215.34822416305542,49.85,9539.345169940674,17427.8
baseline,1,4096,other,67.50209093093872,15.63,9539.345169940674,17427.8
baseline,1,4096,total,431.96417236328125,100.0,9539.345169940674,17427.8
baseline,4,512,attention,64.84070384502411,30.64,9796.9580740469,16529.2
baseline,4,512,ffn,109.74207973480225,51.86,9796.9580740469,16529.2
baseline,4,512,other,37.048319935798645,17.51,9796.9580740469,16529.2
baseline,4,512,total,211.631103515625,100.0,9796.9580740469,16529.2
baseline,4,2048,attention,262.3252477645874,31.9,9966.239405122313,19221.8
baseline,4,2048,ffn,429.7543668746948,52.25,9966.239405122313,19221.8
baseline,4,2048,other,130.37668418884277,15.85,9966.239405122313,19221.8
baseline,4,2048,total,822.456298828125,100.0,9966.239405122313,19221.8
baseline,4,4096,attention,581.3381071090698,34.34,9637.236695674364,22811.9
baseline,4,4096,ffn,855.001091003418,50.51,9637.236695674364,22811.9
baseline,4,4096,other,256.5416612625122,15.15,9637.236695674364,22811.9
baseline,4,4096,total,1692.880859375,100.0,9637.236695674364,22811.9
baseline,16,512,attention,243.99564790725708,29.98,10063.703225050842,19221.8
baseline,16,512,ffn,437.86240005493164,53.79,10063.703225050842,19221.8
baseline,16,512,other,132.11747694015503,16.23,10063.703225050842,19221.8
baseline,16,512,total,813.9755249023438,100.0,10063.703225050842,19221.8
baseline,16,2048,attention,1067.359224319458,32.05,9795.350771376861,29992.0
baseline,16,2048,ffn,1750.1501388549805,52.56,9795.350771376861,29992.0
baseline,16,2048,other,512.5743770599365,15.39,9795.350771376861,29992.0
baseline,16,2048,total,3330.083740234375,100.0,9795.350771376861,29992.0
baseline,16,4096,attention,2427.3663787841797,34.09,9162.656633767834,44352.2
baseline,16,4096,ffn,3614.1936645507812,50.76,9162.656633767834,44352.2
baseline,16,4096,other,1078.404312133789,15.15,9162.656633767834,44352.2
baseline,16,4096,total,7119.96435546875,100.0,9162.656633767834,44352.2
1,1,512,attention,32.00307184457779,40.43,8450.799546563045,15747.1
1,1,512,ffn,28.934143841266632,36.55,8450.799546563045,15747.1
1,1,512,other,18.228227734565735,23.03,8450.799546563045,15747.1
1,1,512,total,79.16544342041016,100.0,8450.799546563045,15747.1
1,1,2048,attention,72.85862481594086,32.66,9318.144773318858,16420.2
1,1,2048,ffn,111.94675374031067,50.19,9318.144773318858,16420.2
1,1,2048,other,38.24947679042816,17.15,9318.144773318858,16420.2
1,1,2048,total,223.0548553466797,100.0,9318.144773318858,16420.2
1,1,4096,attention,153.4238724708557,34.64,9292.169245237666,17317.8
1,1,4096,ffn,220.46720170974731,49.77,9292.169245237666,17317.8
1,1,4096,other,69.05857181549072,15.59,9292.169245237666,17317.8
1,1,4096,total,442.94964599609375,100.0,9292.169245237666,17317.8
1,4,512,attention,66.41868722438812,30.65,9613.628175355203,16420.2
1,4,512,ffn,111.62112212181091,51.5,9613.628175355203,16420.2
1,4,512,other,38.679551005363464,17.85,9613.628175355203,16420.2
1,4,512,total,216.7193603515625,100.0,9613.628175355203,16420.2
1,4,2048,attention,267.6602883338928,31.99,9793.168029661061,19112.8
1,4,2048,ffn,436.2751998901367,52.15,9793.168029661061,19112.8
1,4,2048,other,132.71856451034546,15.86,9793.168029661061,19112.8
1,4,2048,total,836.654052734375,100.0,9793.168029661061,19112.8
1,4,4096,attention,590.9463062286377,34.49,9564.95044093087,22702.9
1,4,4096,ffn,862.4783401489258,50.34,9564.95044093087,22702.9
1,4,4096,other,259.801061630249,15.16,9564.95044093087,22702.9
1,4,4096,total,1713.2257080078125,100.0,9564.95044093087,22702.9
1,16,512,attention,246.31295824050903,30.07,10038.258363356252,19112.8
1,16,512,ffn,439.635968208313,53.68,10038.258363356252,19112.8
1,16,512,other,133.08415460586548,16.25,10038.258363356252,19112.8
1,16,512,total,819.0330810546875,100.0,10038.258363356252,19112.8
1,16,2048,attention,1075.2511920928955,32.07,9765.687774864708,29883.0
1,16,2048,ffn,1759.4234771728516,52.47,9765.687774864708,29883.0
1,16,2048,other,518.2125377655029,15.46,9765.687774864708,29883.0
1,16,2048,total,3352.88720703125,100.0,9765.687774864708,29883.0
1,16,4096,attention,2424.0793418884277,34.19,9252.087390208875,44243.2
1,16,4096,ffn,3581.7420654296875,50.52,9252.087390208875,44243.2
1,16,4096,other,1084.0394325256348,15.29,9252.087390208875,44243.2
