prune_ratio,batch,seq_len,layer_type,time_ms,time_pct,throughput_tok_s,peak_vram_mb
baseline,1,512,attention,33.3219838142395,42.22,9555.296573034755,15856.1
baseline,1,512,ffn,26.80729591846466,33.96,9555.296573034755,15856.1
baseline,1,512,other,18.7985919713974,23.82,9555.296573034755,15856.1
baseline,1,512,total,78.92787170410156,100.0,9555.296573034755,15856.1
baseline,1,2048,attention,63.88531172275543,32.44,10600.07016287992,16529.2
baseline,1,2048,ffn,98.06335997581482,49.79,10600.07016287992,16529.2
baseline,1,2048,other,34.99416887760162,17.77,10600.07016287992,16529.2
baseline,1,2048,total,196.94284057617188,100.0,10600.07016287992,16529.2
baseline,1,4096,attention,134.06719994544983,34.38,10576.693952561362,17427.8
baseline,1,4096,ffn,192.24371242523193,49.29,10576.693952561362,17427.8
baseline,1,4096,other,63.67642283439636,16.33,10576.693952561362,17427.8
baseline,1,4096,total,389.9873352050781,100.0,10576.693952561362,17427.8
baseline,4,512,attention,58.37516796588898,30.44,10835.938593693865,16529.2
baseline,4,512,ffn,98.2353904247284,51.22,10835.938593693865,16529.2
baseline,4,512,other,35.17644417285919,18.34,10835.938593693865,16529.2
baseline,4,512,total,191.78700256347656,100.0,10835.938593693865,16529.2
baseline,4,2048,attention,235.6705288887024,31.9,11109.012945587841,19221.8
baseline,4,2048,ffn,383.4009590148926,51.89,11109.012945587841,19221.8
baseline,4,2048,other,119.74961805343628,16.21,11109.012945587841,19221.8
baseline,4,2048,total,738.8211059570312,100.0,11109.012945587841,19221.8
baseline,4,4096,attention,516.6540784835815,34.27,10876.968880580334,22811.9
baseline,4,4096,ffn,757.0135040283203,50.21,10876.968880580334,22811.9
baseline,4,4096,other,233.97169971466064,15.52,10876.968880580334,22811.9
baseline,4,4096,total,1507.6392822265625,100.0,10876.968880580334,22811.9
baseline,16,512,attention,216.5616636276245,29.98,11387.187559706965,19221.8
baseline,16,512,ffn,384.9318389892578,53.28,11387.187559706965,19221.8
baseline,16,512,other,120.94668292999268,16.74,11387.187559706965,19221.8
baseline,16,512,total,722.440185546875,100.0,11387.187559706965,19221.8
baseline,16,2048,attention,935.1546878814697,31.84,11166.119513111678,29992.0
baseline,16,2048,ffn,1537.9312705993652,52.37,11166.119513111678,29992.0
baseline,16,2048,other,463.59446144104004,15.79,11166.119513111678,29992.0
baseline,16,2048,total,2936.680419921875,100.0,11166.119513111678,29992.0
baseline,16,4096,attention,2076.3607063293457,34.24,10817.164104524814,44352.2
baseline,16,4096,ffn,3053.8189010620117,50.36,10817.164104524814,44352.2
baseline,16,4096,other,934.0147285461426,15.4,10817.164104524814,44352.2
baseline,16,4096,total,6064.1943359375,100.0,10817.164104524814,44352.2
1,1,512,attention,34.32345598936081,42.55,9493.070372765984,15747.1
1,1,512,ffn,26.797056138515472,33.22,9493.070372765984,15747.1
1,1,512,other,19.55430018901825,24.24,9493.070372765984,15747.1
1,1,512,total,80.67481231689453,100.0,9493.070372765984,15747.1
1,1,2048,attention,63.63033604621887,32.51,10594.061936450811,16420.2
1,1,2048,ffn,97.45305371284485,49.79,10594.061936450811,16420.2
1,1,2048,other,34.63474988937378,17.7,10594.061936450811,16420.2
1,1,2048,total,195.7181396484375,100.0,10594.061936450811,16420.2
1,1,4096,attention,133.93100762367249,34.59,10646.2826536741,17317.8
1,1,4096,ffn,190.82444667816162,49.29,10646.2826536741,17317.8
1,1,4096,other,62.41791605949402,16.12,10646.2826536741,17317.8
1,1,4096,total,387.1733703613281,100.0,10646.2826536741,17317.8
1,4,512,attention,58.455039858818054,30.59,10848.516596644242,16420.2
1,4,512,ffn,97.7940502166748,51.18,10848.516596644242,16420.2
1,4,512,other,34.83135426044464,18.23,10848.516596644242,16420.2
1,4,512,total,191.0804443359375,100.0,10848.516596644242,16420.2
1,4,2048,attention,235.72172737121582,31.99,11154.940524676715,19112.8
1,4,2048,ffn,380.3238410949707,51.62,11154.940524676715,19112.8
1,4,2048,other,120.77468299865723,16.39,11154.940524676715,19112.8
1,4,2048,total,736.8202514648438,100.0,11154.940524676715,19112.8
1,4,4096,attention,517.6801300048828,34.46,10902.81392727679,22702.9
1,4,4096,ffn,750.7292098999023,49.97,10902.81392727679,22702.9
1,4,4096,other,233.99214935302734,15.57,10902.81392727679,22702.9
1,4,4096,total,1502.4014892578125,100.0,10902.81392727679,22702.9
1,16,512,attention,217.12384033203125,30.11,11426.399993938508,19112.8
1,16,512,ffn,382.73126316070557,53.07,11426.399993938508,19112.8
1,16,512,other,121.25903224945068,16.82,11426.399993938508,19112.8
1,16,512,total,721.1141357421875,100.0,11426.399993938508,19112.8
1,16,2048,attention,935.2816696166992,31.92,11192.564315596295,29883.0
1,16,2048,ffn,1531.5937194824219,52.27,11192.564315596295,29883.0
1,16,2048,other,463.3272476196289,15.81,11192.564315596295,29883.0
1,16,2048,total,2930.20263671875,100.0,11192.564315596295,29883.0
1,16,4096,attention,2073.4085083007812,34.34,10875.544616984254,44243.2
1,16,4096,ffn,3022.531578063965,50.06,10875.544616984254,44243.2
1,16,4096,other,941.5740737915039,15.6,10875.544616984254,44243.2
1,16,4096,total,6037.51416015625,100.0,10875.544616984254,44243.2
10,1,512,attention,33.80633598566055,42.83,9701.014612337367,14775.1
10,1,512,ffn,25.918463945388794,32.83,9701.014612337367,14775.1
10,1,512,other,19.21433275938034,24.34,9701.014612337367,14775.1
10,1,512,total,78.93913269042969,100.0,9701.014612337367,14775.1
10,1,2048,attention,64.09625601768494,33.93,11091.269671078211,15448.2
10,1,2048,ffn,88.93337655067444,47.08,11091.269671078211,15448.2
10,1,2048,other,35.85125732421875,18.98,11091.269671078211,15448.2
10,1,2048,total,188.88088989257812,100.0,11091.269671078211,15448.2
10,1,4096,attention,134.06515216827393,36.06,11072.143304436546,16345.8
10,1,4096,ffn,174.90022325515747,47.04,11072.143304436546,16345.8
10,1,4096,other,62.8183159828186,16.9,11072.143304436546,16345.8
10,1,4096,total,371.78369140625,100.0,11072.143304436546,16345.8
10,4,512,attention,58.55027222633362,32.02,11372.682645350082,15448.2
10,4,512,ffn,89.31225490570068,48.84,11372.682645350082,15448.2
10,4,512,other,34.996222257614136,19.14,11372.682645350082,15448.2
10,4,512,total,182.85874938964844,100.0,11372.682645350082,15448.2
10,4,2048,attention,235.18208026885986,33.59,11733.887160268187,18140.8
10,4,2048,ffn,344.6261749267578,49.22,11733.887160268187,18140.8
10,4,2048,other,120.37936687469482,17.19,11733.887160268187,18140.8
10,4,2048,total,700.1876220703125,100.0,11733.887160268187,18140.8
10,4,4096,attention,515.4426870346069,35.81,11403.354046407048,21730.9
10,4,4096,ffn,688.9594841003418,47.86,11403.354046407048,21730.9
10,4,4096,other,235.08476734161377,16.33,11403.354046407048,21730.9
10,4,4096,total,1439.4869384765625,100.0,11403.354046407048,21730.9
10,16,512,attention,216.46847867965698,31.6,12026.421658749572,18140.8
10,16,512,ffn,346.71001625061035,50.61,12026.421658749572,18140.8
10,16,512,other,121.89285516738892,17.79,12026.421658749572,18140.8
