prune_ratio,batch,seq_len,layer_type,time_ms,time_pct,throughput_tok_s,peak_vram_mb
baseline,1,512,attention,31.939583957195282,40.59,9287.120672614252,15856.1
baseline,1,512,ffn,27.559936046600342,35.03,9287.120672614252,15856.1
baseline,1,512,other,19.17951899766922,24.38,9287.120672614252,15856.1
baseline,1,512,total,78.67903900146484,100.0,9287.120672614252,15856.1
baseline,1,2048,attention,64.23449647426605,32.42,10526.647802770167,16529.2
baseline,1,2048,ffn,98.57433605194092,49.75,10526.647802770167,16529.2
baseline,1,2048,other,35.34029161930084,17.84,10526.647802770167,16529.2
baseline,1,2048,total,198.1491241455078,100.0,10526.647802770167,16529.2
baseline,1,4096,attention,135.28575992584229,34.57,10562.171534867206,17427.8
baseline,1,4096,ffn,192.66150331497192,49.24,10562.171534867206,17427.8
baseline,1,4096,other,63.349764347076416,16.19,10562.171534867206,17427.8
baseline,1,4096,total,391.2970275878906,100.0,10562.171534867206,17427.8
baseline,4,512,attention,59.02131199836731,30.45,10799.077516916788,16529.2
baseline,4,512,ffn,98.94707012176514,51.06,10799.077516916788,16529.2
baseline,4,512,other,35.83078169822693,18.49,10799.077516916788,16529.2
baseline,4,512,total,193.79916381835938,100.0,10799.077516916788,16529.2
baseline,4,2048,attention,237.34784030914307,31.97,11102.245120082798,19221.8
baseline,4,2048,ffn,383.0835199356079,51.61,11102.245120082798,19221.8
baseline,4,2048,other,121.89798545837402,16.42,11102.245120082798,19221.8
baseline,4,2048,total,742.329345703125,100.0,11102.245120082798,19221.8
baseline,4,4096,attention,519.5028457641602,34.37,10868.16223164671,22811.9
baseline,4,4096,ffn,757.0575332641602,50.09,10868.16223164671,22811.9
baseline,4,4096,other,234.7878875732422,15.53,10868.16223164671,22811.9
baseline,4,4096,total,1511.3482666015625,100.0,10868.16223164671,22811.9
baseline,16,512,attention,218.77247858047485,30.18,11359.376836821253,19221.8
baseline,16,512,ffn,385.14380836486816,53.12,11359.376836821253,19221.8
baseline,16,512,other,121.07059049606323,16.7,11359.376836821253,19221.8
baseline,16,512,total,724.9868774414062,100.0,11359.376836821253,19221.8
baseline,16,2048,attention,937.0081310272217,31.79,11163.985182640548,29992.0
baseline,16,2048,ffn,1545.9881019592285,52.46,11163.985182640548,29992.0
baseline,16,2048,other,464.0357494354248,15.75,11163.985182640548,29992.0
baseline,16,2048,total,2947.031982421875,100.0,11163.985182640548,29992.0
baseline,16,4096,attention,2081.2748832702637,34.28,10812.728461223282,44352.2
baseline,16,4096,ffn,3058.2906951904297,50.38,10812.728461223282,44352.2
baseline,16,4096,other,931.0750465393066,15.34,10812.728461223282,44352.2
baseline,16,4096,total,6070.640625,100.0,10812.728461223282,44352.2
1,1,512,attention,31.014911949634552,40.52,9315.670970095509,15747.1
1,1,512,ffn,27.387904167175293,35.78,9315.670970095509,15747.1
1,1,512,other,18.14732426404953,23.71,9315.670970095509,15747.1
1,1,512,total,76.55014038085938,100.0,9315.670970095509,15747.1
1,1,2048,attention,64.54579198360443,32.51,10519.33970471364,16420.2
1,1,2048,ffn,98.52416062355042,49.63,10519.33970471364,16420.2
1,1,2048,other,35.44474160671234,17.85,10519.33970471364,16420.2
1,1,2048,total,198.5146942138672,100.0,10519.33970471364,16420.2
1,1,4096,attention,135.4711034297943,34.75,10579.603563200171,17317.8
1,1,4096,ffn,191.6774401664734,49.16,10579.603563200171,17317.8
1,1,4096,other,62.745590925216675,16.09,10579.603563200171,17317.8
1,1,4096,total,389.8941345214844,100.0,10579.603563200171,17317.8
1,4,512,attention,59.13497591018677,30.59,10773.830338919839,16420.2
1,4,512,ffn,98.80985617637634,51.11,10773.830338919839,16420.2
1,4,512,other,35.39661383628845,18.31,10773.830338919839,16420.2
1,4,512,total,193.34144592285156,100.0,10773.830338919839,16420.2
1,4,2048,attention,238.21619176864624,32.19,11109.923302817086,19112.8
1,4,2048,ffn,381.3632001876831,51.54,11109.923302817086,19112.8
1,4,2048,other,120.3609766960144,16.27,11109.923302817086,19112.8
1,4,2048,total,739.9403686523438,100.0,11109.923302817086,19112.8
1,4,4096,attention,521.8201589584351,34.59,10866.767547471058,22702.9
1,4,4096,ffn,753.4581756591797,49.95,10866.767547471058,22702.9
1,4,4096,other,233.18223667144775,15.46,10866.767547471058,22702.9
1,4,4096,total,1508.4605712890625,100.0,10866.767547471058,22702.9
1,16,512,attention,219.5210223197937,30.32,11388.175968030433,19112.8
1,16,512,ffn,383.6661767959595,52.99,11388.175968030433,19112.8
1,16,512,other,120.81866025924683,16.69,11388.175968030433,19112.8
1,16,512,total,724.005859375,100.0,11388.175968030433,19112.8
1,16,2048,attention,936.6251468658447,31.84,11151.519663298499,29883.0
1,16,2048,ffn,1540.0591278076172,52.35,11151.519663298499,29883.0
1,16,2048,other,465.3823757171631,15.82,11151.519663298499,29883.0
1,16,2048,total,2942.066650390625,100.0,11151.519663298499,29883.0
1,16,4096,attention,2086.6969604492188,34.44,10853.449428878297,44243.2
1,16,4096,ffn,3035.73095703125,50.11,10853.449428878297,44243.2
1,16,4096,other,935.7088012695312,15.45,10853.449428878297,44243.2
1,16,4096,total,6058.13671875,100.0,10853.449428878297,44243.2
10,1,512,attention,31.72249609231949,41.3,9603.011427147418,14775.1
10,1,512,ffn,26.41919982433319,34.39,9603.011427147418,14775.1
10,1,512,other,18.672642767429352,24.31,9603.011427147418,14775.1
10,1,512,total,76.81433868408203,100.0,9603.011427147418,14775.1
10,1,2048,attention,64.5232640504837,34.11,11037.649366874582,15448.2
10,1,2048,ffn,89.57132911682129,47.35,11037.649366874582,15448.2
10,1,2048,other,35.07302463054657,18.54,11037.649366874582,15448.2
10,1,2048,total,189.16761779785156,100.0,11037.649366874582,15448.2
10,1,4096,attention,135.3246715068817,36.24,11052.65499198212,16345.8
10,1,4096,ffn,175.10093021392822,46.9,11052.65499198212,16345.8
10,1,4096,other,62.94219613075256,16.86,11052.65499198212,16345.8
10,1,4096,total,373.3677978515625,100.0,11052.65499198212,16345.8
10,4,512,attention,59.00083136558533,32.09,11300.073297648229,15448.2
10,4,512,ffn,89.69727897644043,48.79,11300.073297648229,15448.2
10,4,512,other,35.15801453590393,19.12,11300.073297648229,15448.2
10,4,512,total,183.8561248779297,100.0,11300.073297648229,15448.2
10,4,2048,attention,238.09126472473145,33.9,11706.620597633884,18140.8
10,4,2048,ffn,344.3425302505493,49.03,11706.620597633884,18140.8
10,4,2048,other,119.92985248565674,17.08,11706.620597633884,18140.8
10,4,2048,total,702.3636474609375,100.0,11706.620597633884,18140.8
10,4,4096,attention,519.106559753418,36.06,11401.834127604332,21730.9
10,4,4096,ffn,687.0005722045898,47.72,11401.834127604332,21730.9
10,4,4096,other,233.4648895263672,16.22,11401.834127604332,21730.9
10,4,4096,total,1439.572021484375,100.0,11401.834127604332,21730.9
10,16,512,attention,219.15033531188965,31.94,12003.397353430555,18140.8
10,16,512,ffn,346.01471996307373,50.43,12003.397353430555,18140.8
10,16,512,other,120.94053554534912,17.63,12003.397353430555,18140.8
10,16,512,total,686.1055908203125,100.0,12003.397353430555,18140.8
