dtype,batch,heads,seq_len,head_dim,causal,latency_ms,total_MB,kv_MB,bw_GBps,gflops,tflops,ai_theory,max_diff_vs_ref,roof_bw_tflops,roof_ceiling,bottleneck,hw_util_pct
fp16,1,16,512,128,True,0.1331,8.39,4.19,63.02,1.07,8.066,128.0,0.000488,256.0,256.0,memory,3.15
int8kv,1,16,512,128,True,0.1219,6.29,2.1,51.63,1.07,8.8116,170.6649,0.045898,341.3298,312.0,compute,2.82
fp16,4,16,512,128,True,0.2724,33.55,16.78,123.19,4.29,15.7681,128.0,0.000977,256.0,256.0,memory,6.16
int8kv,4,16,512,128,True,0.2386,25.17,8.39,105.48,4.29,18.0013,170.6649,0.049561,341.3298,312.0,compute,5.77
fp16,16,16,512,128,True,0.9062,134.22,67.11,148.1,17.18,18.9573,128.0,0.000977,256.0,256.0,memory,7.41
int8kv,16,16,512,128,True,0.7352,100.66,33.55,136.92,17.18,23.3666,170.6649,0.07373,341.3298,312.0,compute,7.49
fp16,1,16,2048,128,True,0.8806,33.55,16.78,38.1,17.18,19.5084,512.0,0.000488,1024.0,312.0,compute,6.25
int8kv,1,16,2048,128,True,0.7619,25.17,8.39,33.03,17.18,22.55,682.6649,0.036621,1365.3298,312.0,compute,7.23
fp16,4,16,2048,128,True,2.5006,134.22,67.11,53.67,68.72,27.4811,512.0,0.000488,1024.0,312.0,compute,8.81
int8kv,4,16,2048,128,True,2.0439,100.66,33.55,49.25,68.72,33.6217,682.6649,0.039185,1365.3298,312.0,compute,10.78
fp16,16,16,2048,128,True,9.8335,536.87,268.44,54.6,274.88,27.9533,512.0,0.000671,1024.0,312.0,compute,8.96
int8kv,16,16,2048,128,True,7.9084,402.65,134.22,50.92,274.88,34.7579,682.6649,0.057129,1365.3298,312.0,compute,11.14
fp16,1,16,4096,128,True,2.5836,67.11,33.55,25.98,68.72,26.5988,1024.0,0.000977,2048.0,312.0,compute,8.53
int8kv,1,16,4096,128,True,2.1299,50.33,16.78,23.63,68.72,32.2639,1365.3316,0.048004,2730.6632,312.0,compute,10.34
fp16,4,16,4096,128,True,9.7157,268.44,134.22,27.63,274.88,28.2921,1024.0,0.000977,2048.0,312.0,compute,9.07
int8kv,4,16,4096,128,True,7.8684,201.33,67.11,25.59,274.88,34.9343,1365.3316,0.045166,2730.6632,312.0,compute,11.2
fp16,16,16,4096,128,True,38.6007,1073.74,536.87,27.82,1099.51,28.4842,1024.0,0.000977,2048.0,312.0,compute,9.13
int8kv,16,16,4096,128,True,31.0026,805.31,268.44,25.98,1099.51,35.4651,1365.3316,0.0513,2730.6632,312.0,compute,11.37
