dtype,batch,seq_len,layer_type,time_ms,time_pct,mem_mb
fp16,1,512,attention,35.40787202119827,34.72,226.49
fp16,1,512,ffn,28.420096039772034,27.87,150.99
fp16,1,512,other,38.15935951471329,37.42,16248.85
fp16,1,512,total,101.9873275756836,100.0,16626.34
fp16,1,2048,attention,70.95193612575531,31.29,905.97
fp16,1,2048,ffn,107.54355192184448,47.43,603.98
fp16,1,2048,other,48.22425377368927,21.27,15822.22
fp16,1,2048,total,226.71974182128906,100.0,17332.17
fp16,1,4096,attention,146.78732872009277,33.85,1811.94
fp16,1,4096,ffn,211.51846313476562,48.77,1207.96
fp16,1,4096,other,75.3909854888916,17.38,15254.43
fp16,1,4096,total,433.69677734375,100.0,18274.33
fp16,4,512,attention,64.74240028858185,29.48,905.97
fp16,4,512,ffn,107.65619158744812,49.01,603.98
fp16,4,512,other,47.24633610248566,21.51,15822.22
fp16,4,512,total,219.64492797851562,100.0,17332.17
fp16,4,2048,attention,259.6935682296753,31.56,3623.88
fp16,4,2048,ffn,424.67123222351074,51.61,2415.92
fp16,4,2048,other,138.44892024993896,16.83,14115.71
fp16,4,2048,total,822.813720703125,100.0,20155.51
fp16,4,4096,attention,573.7072639465332,34.12,7247.76
fp16,4,4096,ffn,843.0950374603271,50.14,4831.84
fp16,4,4096,other,264.78388023376465,15.75,11840.37
fp16,4,4096,total,1681.586181640625,100.0,23919.96
fp16,16,512,attention,239.28524732589722,29.63,3623.88
fp16,16,512,ffn,427.57325077056885,52.94,2415.92
fp16,16,512,other,140.78975629806519,17.43,14115.71
fp16,16,512,total,807.6482543945312,100.0,20155.51
fp16,16,2048,attention,1045.3411808013916,31.85,14495.51
fp16,16,2048,ffn,1715.4396209716797,52.26,9663.68
fp16,16,2048,other,521.4452724456787,15.89,7289.68
fp16,16,2048,total,3282.22607421875,100.0,31448.87
fp16,16,4096,attention,2368.8427238464355,34.28,28991.03
fp16,16,4096,ffn,3485.922294616699,50.45,19327.35
fp16,16,4096,other,1055.3731651306152,15.27,0.0
fp16,16,4096,total,6910.13818359375,100.0,46506.68
w4a8,1,512,attention,48.44543993473053,25.58,150.99
w4a8,1,512,ffn,102.49727940559387,54.13,150.99
w4a8,1,512,other,38.4276419878006,20.29,5964.81
w4a8,1,512,total,189.370361328125,100.0,6266.8
w4a8,1,2048,attention,79.32825565338135,29.57,603.98
w4a8,1,2048,ffn,140.88601541519165,52.51,603.98
w4a8,1,2048,other,48.07067155838013,17.92,5538.18
w4a8,1,2048,total,268.2849426269531,100.0,6746.14
w4a8,1,4096,attention,156.55219268798828,32.93,1207.96
w4a8,1,4096,ffn,240.25292825698853,50.54,1207.96
w4a8,1,4096,other,78.61348867416382,16.54,4969.35
w4a8,1,4096,total,475.4186096191406,100.0,7385.26
w4a8,4,512,attention,73.21907138824463,27.86,603.98
w4a8,4,512,ffn,140.5757439136505,53.48,603.98
w4a8,4,512,other,49.06291174888611,18.67,5538.18
w4a8,4,512,total,262.85772705078125,100.0,6746.14
w4a8,4,2048,attention,269.01913833618164,31.46,2415.92
w4a8,4,2048,ffn,444.3023347854614,51.96,2415.92
w4a8,4,2048,other,141.83422756195068,16.59,3831.67
w4a8,4,2048,total,855.1557006835938,100.0,8663.51
w4a8,4,4096,attention,570.0935707092285,34.55,4831.84
w4a8,4,4096,ffn,818.174976348877,49.58,4831.84
w4a8,4,4096,other,261.90955352783203,15.87,1556.33
w4a8,4,4096,total,1650.1781005859375,100.0,11220.01
w4a8,16,512,attention,246.79116821289062,29.6,2415.92
w4a8,16,512,ffn,445.12665367126465,53.39,2415.92
w4a8,16,512,other,141.80660438537598,17.01,3831.67
w4a8,16,512,total,833.7244262695312,100.0,8663.51
w4a8,16,2048,attention,1049.6102390289307,32.65,9663.68
w4a8,16,2048,ffn,1645.4748153686523,51.19,9663.68
w4a8,16,2048,other,519.568265914917,16.16,0.0
w4a8,16,2048,total,3214.6533203125,100.0,16332.99
w4a8,16,4096,attention,2381.128692626953,35.19,19327.35
w4a8,16,4096,ffn,3330.147315979004,49.21,19327.35
w4a8,16,4096,other,1055.449089050293,15.6,0.0
w4a8,16,4096,total,6766.72509765625,100.0,26558.97
